A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
-1.132033307,-0.948588011,2.359755215,4.683592672,-1.409839177,-3.16139761,0.112675084,-0.917101191,-1.572320368,1.572692016,-6.924162853,0.29134766,5.954573626,4.742416803,4.975389287,6.145296084,-1.821851754,-4.389017999,2.879639114,0.082627628
1.060068448,1.795303963,-2.215762049,2.354232557,-3.293082493,-0.433654018,-3.490292237,1.918924566,0.767625356,-0.203397963,0.089692922,-0.198945824,-0.053228094,-4.34277194,5.336929355,-0.85260391,0.637510867,-3.599073543,0.927249063,4.52210484
1.137160428,2.526458092,-1.747581907,4.580638887,-1.294681897,-5.14457601,-2.538537208,-1.183832428,2.155308502,-0.775204888,5.198984523,-1.688117637,-4.291118036,-1.714029062,4.672948986,-3.306741049,0.182079681,-4.759530556,2.935134469,0.087221607
0.615137982,-3.178354997,-1.062014733,-2.312097992,-2.584129575,3.292302055,-6.743885195,-0.044026175,6.150739782,-1.331511374,0.411677213,0.043076984,4.367544813,-4.319730568,-4.636213916,3.236006967,-0.323011466,1.946239105,-1.578298941,-2.028808279
-0.270551981,-2.977121063,-4.286006068,-2.267219548,-2.868949949,3.973007535,-2.810711059,-1.233652263,2.367096236,1.224448991,3.434116677,1.2129741,1.543598883,-2.580432033,-2.932785086,5.084864097,0.449069775,2.071840378,-3.946957244,-3.105275959
1.949146584,-2.270374389,4.963677077,3.818806014,-4.173736052,-1.725816666,3.628237905,-1.814147686,-4.126232878,1.215567022,-4.99569771,1.262906158,2.2203099,4.86337808,4.242375713,3.65391154,-0.504436403,-4.363439123,2.953835451,-0.970600425
-0.384285554,3.141296002,-4.416731984,0.35562323,-3.733699484,-2.899131209,-3.433025137,0.577873788,1.026418335,-0.096065318,1.579070942,0.648560624,-4.263965584,-2.26313349,-2.141195244,0.091426958,-1.575755796,-1.165228474,5.099679317,4.852129097
-0.420254196,-0.284794715,-3.66940924,-3.962918744,-2.960923171,0.530652119,-2.548190033,0.586017393,-0.925006617,-0.394822906,5.910605389,-1.154195518,6.625271223,-5.886904625,-2.311197713,1.354953714,0.714898971,5.490373155,-6.754972321,-1.612757278
0.116557296,-2.419276264,-4.87627168,-3.205309351,-3.561368766,4.65482401,-3.821046691,0.731119823,1.255463867,0.729918597,4.869890218,-1.123125765,2.704347983,-3.299828347,-4.650723451,4.190210919,0.182549984,3.066294505,-2.799516452,-2.78664153
0.440252581,-2.380700553,7.479874285,5.312005881,-5.585267528,-1.29042031,1.899435801,0.769055789,-3.467273076,0.331166611,1.24323209,0.906527874,-0.812955574,0.131474478,3.929097647,1.037791694,-0.932137863,-2.035792805,2.225045603,-4.283014459
0.258735088,-0.075806138,-4.946535401,-1.860871936,0.16047433,6.06258792,-2.780101377,-0.574459131,1.307480146,0.985309448,1.898691323,0.341525366,4.478829211,-3.134362996,-5.160966323,7.778487824,0.877594325,4.977475875,-1.518425228,-3.848776737
-0.816788211,-0.942450005,-0.628455002,-1.619386782,-6.84483089,0.700103754,-1.470499056,-0.394160587,6.843655802,-1.111228737,0.856139796,-0.469794839,3.665253261,-5.020909896,-3.317025193,2.914044939,-0.357504826,2.695809466,-2.681239345,-1.280265166
-0.030251313,-0.05397534,4.283627995,5.884875219,-3.308215971,-5.204422241,3.482894717,-1.139845612,-3.265552187,2.046771205,-4.232242637,0.30445137,1.882698896,1.461731026,2.035438451,4.150154343,1.759774821,-4.441663198,0.794668296,-7.041853347
1.044235092,6.014440618,-1.303289215,1.928869791,-7.416675705,-2.461123152,-3.397525599,0.036777517,4.170252854,0.151852972,3.379925403,-1.977077048,-2.960841228,-4.055770566,1.183186295,-0.702834715,0.997226607,-2.709956102,0.589584437,4.389114266
-1.709192216,-3.07039623,4.113974038,2.439743263,-5.721234038,-3.376327546,-1.217997658,0.718156545,-2.869761563,-1.077179899,-0.870355419,0.514604679,4.526774151,5.012633571,0.748878768,1.61297077,0.249320578,-1.665788961,3.407380575,-1.536368272
0.027316338,-2.598989702,-2.529922732,-2.891367708,-2.129521122,2.103321839,-3.025539107,0.231283949,1.318850863,1.484342407,2.620048751,0.016079638,4.059694555,-3.605040023,-5.644404653,3.876895123,0.649662283,4.708165018,-1.167670619,-6.263306932
0.971567684,4.615983808,-0.856243947,3.164520805,-5.712232489,1.282249356,-4.52246354,-1.901063147,5.230005009,-0.199498767,1.605845654,-0.0219525,-2.825221145,-6.904373974,0.886073796,-4.921132201,-0.490108246,-0.049646248,0.28418732,1.712930559
-1.70937158,5.395438285,-1.360680838,1.02718087,-4.780101722,-4.785088276,-2.152375928,-1.105455414,2.432623398,-0.307047857,-0.075237378,0.879559363,-2.822285613,-2.670027711,2.015634861,-1.89210114,1.321568256,-3.225759703,3.218441555,4.961103458
-1.453861757,-5.523299365,-3.698895012,-0.381574453,-3.104025701,0.395406921,-5.591107832,0.81736889,4.031217291,-0.773961405,0.695208839,-0.612214625,0.414434601,-4.666739497,-1.165376835,0.783016117,-0.761901452,-2.569234696,-5.471073545,-2.375771399
-0.340435075,-2.637930051,-4.007538962,-1.759226034,-4.129802581,-0.442032029,-2.843257875,-0.667578832,7.089519761,-0.250819385,3.189712171,0.061924249,4.526517883,-2.262168017,-5.643531158,2.417620331,-0.016394346,-0.058179063,2.064350002,-5.861078181
-0.981185264,-4.787180754,-1.202414288,-3.913597111,-4.921947216,4.800271325,-5.475850699,2.02250926,3.558003219,0.295974916,4.698325159,0.364677024,-0.078214252,-5.91256965,-5.81312271,4.343532844,-0.174229173,4.55995102,-3.278363832,-4.899813386
0.509234597,-1.448029139,-1.61610184,-3.93711819,-1.034672367,5.270969192,-6.687006149,-0.815736688,3.173596814,1.288797644,1.106501723,-0.288991089,4.48942103,-4.192295859,-4.951058784,4.301496244,0.21228989,2.702385901,-2.835901323,-1.128038294
-0.35306133,-3.578954704,-3.410638472,-3.837812655,-2.535995087,1.182582925,-8.156820564,-1.647209632,2.138582948,1.132266207,0.289698155,-1.269396118,4.757662662,-3.701699873,-4.093028637,5.614844749,-0.750123899,1.517898683,-3.976285573,-2.232232008
-1.673409658,-4.24662438,-1.478069526,-0.908639724,-0.598763617,5.614031275,-4.692028803,-0.095509068,5.076364539,-1.246399165,0.072590974,1.029779614,3.476660482,-0.396810531,-2.254133669,4.976014662,-0.187345726,3.390675361,-2.975599306,-1.310703334
-0.051515424,-2.532098082,-2.858432782,-5.643284536,-3.97437306,-0.955666305,-1.803630399,-0.215339804,2.157282096,0.583488975,2.139374315,-0.495195146,3.127946652,-3.718176573,0.530338224,-1.52423285,0.797410843,2.357426608,-7.38018678,0.583878534
-0.414676756,-6.830807718,-2.421716978,-2.17180126,-0.192068075,5.063699459,-5.098097779,-0.019673315,-0.833650741,0.728115867,2.311607752,0.934622221,1.393229968,-1.078018107,-2.243811962,4.087808757,-0.171235169,5.477355196,-6.123592418,-2.313999323
1.850348896,-0.769008954,-0.629640357,7.780764602,0.628871515,-2.795368558,3.042195859,-1.192492815,0.536900271,-0.11436636,-3.142464697,-1.083030195,3.784723588,3.335719116,3.380604215,1.289099686,-0.225859518,-2.441686902,-0.393708203,-3.064128419
0.348524845,-1.783541583,-8.656799468,4.71486657,-4.349204718,-5.923447495,-1.546672276,-0.324439638,3.279612231,1.157781965,3.07921923,-1.539425551,-1.573245453,-5.852029674,-2.489266758,-1.054845379,-0.003504725,-6.600541404,7.320680375,4.285558007
-0.841889562,-4.820183497,1.150807513,5.451613109,-3.292770271,-4.238324854,1.329793692,0.983902279,1.029754105,-0.131030771,-0.54673141,0.245600927,-0.35150874,1.302704345,3.724703488,0.628907721,-0.031797699,-0.867192093,-2.595367921,-1.025164919
0.210351893,-4.819414711,-3.366516193,-1.954549872,-4.616990737,2.5634654,-2.137507796,-0.398085236,2.460222383,-0.276774201,4.522907986,0.666698923,2.176678447,-2.784915127,-3.223042203,0.205732245,1.384395332,5.390243167,-4.797453977,-2.267505103
-1.619426485,-3.311634865,-1.3568422,3.611843431,0.139969929,-3.186192014,2.01577983,-0.103926294,-0.002802549,0.42912928,-0.900584982,1.401131264,4.387585463,3.597154378,2.644011136,0.557028983,0.339957699,-0.033992799,0.458704941,-0.673993174
-2.182899836,-3.452539237,-4.538137105,-2.146069709,-1.013886609,3.396178803,-5.291566445,1.259183418,3.218031466,1.107091015,1.507196163,-0.664673476,1.448652516,-4.604132043,-4.198349126,2.794207387,-0.980936811,0.759960959,-4.440206172,-5.954819037
0.795567482,3.932556493,-3.445976366,3.869921532,-4.397987136,-6.123706015,-1.431341484,-0.721082035,2.040569032,0.592401974,4.698142506,-0.164687522,-3.817893069,-1.677117629,1.595577388,0.775374234,-0.634675993,-6.567519667,2.94097845,2.099715302
-1.892699764,-1.143739806,2.415690833,5.00252242,-6.082014147,-1.899975598,0.716592465,0.651575522,-5.280623736,-0.412156487,-1.087457003,1.517216772,0.834983124,3.145720391,3.015093212,2.852149773,-2.020658848,-2.793153236,1.732831925,-2.912413577
1.655276644,6.308056627,-3.732341035,3.148557633,-1.251712556,0.396648071,-2.65669312,1.216759877,4.617364609,-1.378741222,1.490128973,1.722757954,-4.768787145,-5.50473898,-0.524251718,-4.829871737,-0.824816846,-5.371160297,4.616786373,0.696661688
0.067156545,-2.27965586,1.595204004,4.400295781,-4.71441808,-4.540902614,1.414581365,-0.643864937,-0.361612714,-0.650070276,-0.080496966,0.74123842,3.197379298,4.267964554,-0.381566524,0.54366633,-0.799136831,0.523395039,2.267675743,-2.445467164
0.392354323,-2.644263086,7.283915392,1.798498161,-0.911720505,-3.946427499,1.532856996,1.00023867,-4.253354871,-1.127284594,-6.877037005,0.702604487,7.795836581,3.784486531,2.059459204,7.175541139,-1.885748461,-3.833491315,6.964077158,-7.451283015
-0.910761892,-3.427458506,5.174846787,1.898249106,-6.056312218,-5.349237805,2.844232341,-0.52372582,-4.017326235,0.330531813,-4.59763402,0.642716018,2.677504882,4.087581146,0.612919709,4.148216424,0.896721205,-2.543896362,3.401513468,-3.228603364
0.193329484,-0.077107114,0.927961421,2.39847572,0.808997151,-2.036105233,3.560077381,-0.255751865,-4.949752911,-0.144392675,-1.735069704,0.270177471,7.939495299,2.859156546,4.251967702,1.266630103,-2.131644141,-3.488564663,4.182379305,-1.396702955
-1.077143597,-5.929952543,-0.526075226,-5.767197116,-5.452355562,4.471106577,-2.555315859,-2.43468933,-0.439853371,-0.230130743,7.010108165,0.873258245,-0.950060575,-5.885561829,-4.32805619,-0.989988581,-0.145686497,7.082533505,-4.533542023,-4.21056767
